Date,Price,Open,High,Low,per_change
28-Oct-14,1.2734,1.2698,1.2765,1.2683,0.0028
29-Oct-14,1.2632,1.2735,1.2772,1.2631,-0.008
30-Oct-14,1.2613,1.2631,1.264,1.2547,-0.0015
31-Oct-14,1.2525,1.2612,1.2618,1.2485,-0.007
3-Nov-14,1.2483,1.2515,1.2517,1.2441,-0.0034
4-Nov-14,1.2546,1.2483,1.2578,1.2481,0.005
5-Nov-14,1.2486,1.2546,1.2568,1.2457,-0.0048
6-Nov-14,1.2375,1.2487,1.2535,1.2365,-0.0089
7-Nov-14,1.2454,1.2376,1.2471,1.2359,0.0064
10-Nov-14,1.2421,1.2452,1.251,1.2417,-0.0026
11-Nov-14,1.2475,1.2421,1.25,1.2394,0.0043
12-Nov-14,1.2439,1.2476,1.2499,1.2418,-0.0029
13-Nov-14,1.2477,1.2439,1.2492,1.2426,0.0031
14-Nov-14,1.2523,1.2477,1.2548,1.2399,0.0037
17-Nov-14,1.245,1.2526,1.2578,1.2444,-0.0058
18-Nov-14,1.2537,1.245,1.2546,1.2442,0.007
19-Nov-14,1.2554,1.2537,1.26,1.2512,0.0014
20-Nov-14,1.254,1.2555,1.2576,1.2504,-0.0011
21-Nov-14,1.239,1.2541,1.2571,1.2376,-0.012
24-Nov-14,1.2443,1.2376,1.2445,1.2357,0.0043
25-Nov-14,1.2475,1.2443,1.2487,1.2401,0.0026
26-Nov-14,1.2506,1.2475,1.2532,1.2443,0.0025
27-Nov-14,1.2467,1.2506,1.2524,1.2464,-0.0031
28-Nov-14,1.2452,1.2468,1.2492,1.2427,-0.0012
1-Dec-14,1.247,1.2456,1.2507,1.2419,0.0014
2-Dec-14,1.2383,1.2471,1.2478,1.2377,-0.007
3-Dec-14,1.2311,1.2382,1.2391,1.23,-0.0058
4-Dec-14,1.2379,1.2313,1.2458,1.2282,0.0055
5-Dec-14,1.2285,1.238,1.2393,1.2271,-0.0076
8-Dec-14,1.2317,1.2278,1.2344,1.2246,0.0026
9-Dec-14,1.2375,1.2317,1.2448,1.2292,0.0047
10-Dec-14,1.2448,1.2374,1.2449,1.2361,0.0059
11-Dec-14,1.2411,1.2448,1.2496,1.237,-0.003
12-Dec-14,1.2462,1.2413,1.2487,1.2384,0.0041
15-Dec-14,1.2437,1.2462,1.2485,1.2414,-0.002
16-Dec-14,1.2511,1.2437,1.2571,1.2433,0.0059
17-Dec-14,1.2343,1.2512,1.2517,1.2322,-0.0134
18-Dec-14,1.2286,1.2342,1.2353,1.2265,-0.0046
19-Dec-14,1.2228,1.2288,1.2305,1.2222,-0.0047
22-Dec-14,1.2231,1.2226,1.2273,1.2216,0.0002
23-Dec-14,1.2172,1.2231,1.2247,1.2165,-0.0048
24-Dec-14,1.2195,1.2172,1.2222,1.217,0.0019
25-Dec-14,1.2222,1.2195,1.2256,1.2186,0.0022
26-Dec-14,1.2176,1.2224,1.2228,1.2168,-0.0038
29-Dec-14,1.2152,1.2182,1.2221,1.2142,-0.002
30-Dec-14,1.2157,1.2151,1.2188,1.2123,0.0004
31-Dec-14,1.2098,1.2155,1.2172,1.2096,-0.0049
1-Jan-15,1.2104,1.21,1.2107,1.2094,0.0005
2-Jan-15,1.2003,1.2106,1.2111,1.2001,-0.0083
5-Jan-15,1.1934,1.2003,1.2008,1.1883,-0.0057
6-Jan-15,1.1889,1.1933,1.1969,1.1884,-0.0038
7-Jan-15,1.1839,1.1892,1.1898,1.1803,-0.0042
8-Jan-15,1.1793,1.1839,1.1848,1.1753,-0.0039
9-Jan-15,1.1841,1.1793,1.1848,1.1763,0.0041
12-Jan-15,1.1834,1.1838,1.1871,1.1786,-0.0006
13-Jan-15,1.1772,1.1833,1.186,1.1753,-0.0052
14-Jan-15,1.1789,1.1772,1.1846,1.1726,0.0014
15-Jan-15,1.1631,1.1789,1.1795,1.157,-0.0134
16-Jan-15,1.157,1.1633,1.165,1.1462,-0.0052
19-Jan-15,1.1606,1.1551,1.1641,1.1545,0.0031
20-Jan-15,1.1551,1.1606,1.1616,1.154,-0.0047
21-Jan-15,1.161,1.1553,1.1677,1.1542,0.0051
22-Jan-15,1.1366,1.161,1.1648,1.1317,-0.021
23-Jan-15,1.1208,1.1366,1.1374,1.1114,-0.0139
26-Jan-15,1.1239,1.1186,1.1297,1.1099,0.0028
27-Jan-15,1.1381,1.1237,1.1423,1.1224,0.0126
28-Jan-15,1.1288,1.1382,1.1385,1.1276,-0.0082
29-Jan-15,1.132,1.1287,1.1369,1.1261,0.0028
30-Jan-15,1.1288,1.1321,1.1366,1.1279,-0.0028
2-Feb-15,1.1342,1.1284,1.1364,1.128,0.0048
3-Feb-15,1.1481,1.1343,1.1534,1.1313,0.0123
4-Feb-15,1.1347,1.1482,1.1486,1.1317,-0.0117
5-Feb-15,1.1477,1.1345,1.15,1.1304,0.0115
6-Feb-15,1.1315,1.1477,1.1488,1.1313,-0.0141
9-Feb-15,1.1324,1.1315,1.1359,1.1271,0.0008
10-Feb-15,1.1321,1.1327,1.1347,1.1274,-0.0003
11-Feb-15,1.1334,1.1321,1.1349,1.128,0.0011
12-Feb-15,1.1403,1.1334,1.1423,1.1302,0.0061
13-Feb-15,1.1385,1.1403,1.1443,1.138,-0.0016
16-Feb-15,1.1353,1.1385,1.1429,1.1317,-0.0028
17-Feb-15,1.1412,1.1354,1.145,1.1322,0.0052
18-Feb-15,1.1397,1.1412,1.1418,1.1334,-0.0013
19-Feb-15,1.1366,1.1397,1.145,1.1355,-0.0027
20-Feb-15,1.1381,1.137,1.1431,1.128,0.0013
23-Feb-15,1.1332,1.1385,1.1414,1.1296,-0.0043
24-Feb-15,1.1341,1.1336,1.136,1.1289,0.0008
25-Feb-15,1.1362,1.134,1.1389,1.1334,0.0019
26-Feb-15,1.1198,1.1361,1.1381,1.1184,-0.0144
27-Feb-15,1.1195,1.1199,1.1248,1.1178,-0.0003
2-Mar-15,1.1185,1.1187,1.1242,1.1159,-0.0009
3-Mar-15,1.1176,1.1183,1.1219,1.1155,-0.0008
4-Mar-15,1.1079,1.1178,1.1187,1.1062,-0.0087
5-Mar-15,1.1031,1.1079,1.1115,1.0989,-0.0043
6-Mar-15,1.0844,1.1033,1.1035,1.0842,-0.017
9-Mar-15,1.0852,1.0832,1.0908,1.0823,0.0007
10-Mar-15,1.0698,1.0851,1.0856,1.0692,-0.0142
11-Mar-15,1.0547,1.0699,1.0718,1.0511,-0.0141
12-Mar-15,1.0635,1.0547,1.0684,1.0495,0.0083
13-Mar-15,1.0495,1.0637,1.0639,1.0462,-0.0132
16-Mar-15,1.0568,1.0494,1.0621,1.0459,0.007
17-Mar-15,1.0598,1.0566,1.065,1.0551,0.0028
18-Mar-15,1.0867,1.0598,1.1033,1.0581,0.0254
19-Mar-15,1.066,1.0866,1.0915,1.0613,-0.019
20-Mar-15,1.0822,1.0661,1.0883,1.065,0.0152
23-Mar-15,1.0947,1.0837,1.0972,1.0768,0.0116
24-Mar-15,1.0926,1.0947,1.1031,1.0892,-0.0019
25-Mar-15,1.0972,1.0926,1.1016,1.0901,0.0042
26-Mar-15,1.0884,1.0969,1.1052,1.0856,-0.008
27-Mar-15,1.0888,1.0886,1.0949,1.0802,0.0004
30-Mar-15,1.0834,1.0889,1.0897,1.0811,-0.005
31-Mar-15,1.0731,1.0833,1.0846,1.0713,-0.0095
1-Apr-15,1.0764,1.0735,1.0801,1.0719,0.0031
2-Apr-15,1.0884,1.0764,1.0905,1.0751,0.0111
3-Apr-15,1.0978,1.0883,1.1028,1.0864,0.0086
6-Apr-15,1.0924,1.0991,1.1037,1.0911,-0.0049
7-Apr-15,1.0816,1.0922,1.0957,1.0805,-0.0099
8-Apr-15,1.0781,1.0816,1.0888,1.0764,-0.0032
9-Apr-15,1.0659,1.0781,1.0789,1.0638,-0.0113
10-Apr-15,1.0604,1.066,1.0685,1.0569,-0.0052
13-Apr-15,1.0568,1.0602,1.0619,1.052,-0.0034
14-Apr-15,1.0654,1.0566,1.0709,1.053,0.0081
15-Apr-15,1.0686,1.0655,1.0703,1.0572,0.003
16-Apr-15,1.0762,1.0684,1.0819,1.0625,0.0071
17-Apr-15,1.0807,1.0762,1.085,1.0737,0.0042
20-Apr-15,1.0737,1.0821,1.0825,1.0713,-0.0065
21-Apr-15,1.0736,1.074,1.0784,1.0661,-0.0001
22-Apr-15,1.0726,1.0736,1.0802,1.0709,-0.0009
23-Apr-15,1.0827,1.0726,1.0848,1.0667,0.0094
24-Apr-15,1.0874,1.0825,1.0901,1.0785,0.0043
27-Apr-15,1.0888,1.0873,1.0928,1.0821,0.0013
28-Apr-15,1.0981,1.0894,1.0991,1.0859,0.0085
29-Apr-15,1.1132,1.0983,1.1189,1.096,0.0138
30-Apr-15,1.1225,1.113,1.1269,1.1073,0.0084
1-May-15,1.1202,1.1223,1.129,1.1176,-0.002
4-May-15,1.1146,1.1202,1.1226,1.1123,-0.005
5-May-15,1.1186,1.1147,1.1223,1.1067,0.0036
6-May-15,1.1353,1.1187,1.1372,1.1176,0.0149
7-May-15,1.1267,1.1347,1.1393,1.1237,-0.0076
8-May-15,1.1204,1.1267,1.129,1.1178,-0.0056
11-May-15,1.1155,1.1197,1.1207,1.1131,-0.0044
12-May-15,1.1214,1.1155,1.1277,1.1134,0.0053
13-May-15,1.1357,1.1214,1.1385,1.1204,0.0128
14-May-15,1.141,1.1359,1.1447,1.1341,0.0047
15-May-15,1.1452,1.141,1.1467,1.1324,0.0037
18-May-15,1.1315,1.1441,1.145,1.1298,-0.012
19-May-15,1.1149,1.1317,1.1328,1.1119,-0.0147
20-May-15,1.1093,1.115,1.1156,1.1063,-0.005
21-May-15,1.1113,1.1092,1.1181,1.108,0.0018
22-May-15,1.1018,1.1115,1.1211,1.1004,-0.0085
25-May-15,1.0978,1.1006,1.1012,1.0961,-0.0036
26-May-15,1.0873,1.0978,1.0985,1.0863,-0.0096
27-May-15,1.0905,1.0873,1.0931,1.082,0.0029
28-May-15,1.0949,1.0905,1.096,1.0869,0.004
29-May-15,1.0988,1.0948,1.1006,1.0926,0.0036
1-Jun-15,1.0928,1.0989,1.0991,1.0888,-0.0055
2-Jun-15,1.1155,1.0928,1.1193,1.0915,0.0208
3-Jun-15,1.1275,1.1151,1.1284,1.1079,0.0108
4-Jun-15,1.1239,1.1276,1.1381,1.1227,-0.0032
5-Jun-15,1.1113,1.1239,1.1281,1.105,-0.0112
8-Jun-15,1.1292,1.1113,1.1307,1.108,0.0161
9-Jun-15,1.1284,1.1292,1.1345,1.1214,-0.0007
10-Jun-15,1.1326,1.1286,1.1387,1.1261,0.0037
11-Jun-15,1.1258,1.1325,1.1332,1.1183,-0.006
12-Jun-15,1.1269,1.1258,1.1298,1.1151,0.001
15-Jun-15,1.1284,1.1225,1.1294,1.1189,0.0013
16-Jun-15,1.1248,1.1283,1.1331,1.1206,-0.0032
17-Jun-15,1.1337,1.1249,1.136,1.1213,0.0079
18-Jun-15,1.136,1.1337,1.1438,1.1331,0.002
19-Jun-15,1.1353,1.136,1.1393,1.1292,-0.0006
22-Jun-15,1.1341,1.1363,1.1411,1.1312,-0.0011
23-Jun-15,1.117,1.1341,1.1348,1.1135,-0.0151
24-Jun-15,1.1207,1.1171,1.1237,1.1156,0.0033
25-Jun-15,1.1204,1.1204,1.1227,1.1153,-0.0003
26-Jun-15,1.1166,1.1207,1.1221,1.1131,-0.0034
29-Jun-15,1.1236,1.1031,1.1279,1.0954,0.0063
30-Jun-15,1.1138,1.1237,1.1246,1.1114,-0.0087
1-Jul-15,1.1054,1.1139,1.1172,1.1042,-0.0075
2-Jul-15,1.1084,1.1054,1.1124,1.1031,0.0027
3-Jul-15,1.1114,1.1086,1.1119,1.1066,0.0027
6-Jul-15,1.1057,1.0993,1.1097,1.0969,-0.0051
7-Jul-15,1.1012,1.1056,1.1061,1.0917,-0.0041
8-Jul-15,1.1077,1.1012,1.1094,1.0974,0.0059
9-Jul-15,1.1038,1.1078,1.1126,1.0992,-0.0035
10-Jul-15,1.1164,1.1037,1.1218,1.1031,0.0114
13-Jul-15,1.1004,1.1107,1.1197,1.0995,-0.0143
14-Jul-15,1.1012,1.1004,1.1084,1.0966,0.0007
15-Jul-15,1.0949,1.101,1.1035,1.093,-0.0057
16-Jul-15,1.0875,1.0947,1.0964,1.0856,-0.0068
17-Jul-15,1.0829,1.0875,1.0907,1.0827,-0.0042
20-Jul-15,1.0827,1.0833,1.0872,1.081,-0.0002
21-Jul-15,1.0937,1.0825,1.097,1.0811,0.0102
22-Jul-15,1.0934,1.0936,1.0966,1.0869,-0.0003
23-Jul-15,1.0983,1.0928,1.1019,1.0922,0.0045
24-Jul-15,1.0984,1.0983,1.0997,1.0926,0.0001
27-Jul-15,1.1094,1.0974,1.113,1.097,0.01
28-Jul-15,1.1059,1.1089,1.1101,1.1022,-0.0032
29-Jul-15,1.0986,1.1061,1.1086,1.0967,-0.0066
30-Jul-15,1.0933,1.0987,1.0992,1.0894,-0.0048
31-Jul-15,1.0988,1.0934,1.1114,1.0921,0.005
3-Aug-15,1.0951,1.097,1.0997,1.0941,-0.0034
4-Aug-15,1.0882,1.0951,1.0989,1.0877,-0.0063
5-Aug-15,1.0906,1.0883,1.0938,1.0849,0.0022
6-Aug-15,1.0925,1.0909,1.0944,1.0876,0.0017
7-Aug-15,1.0968,1.093,1.0981,1.0857,0.0039
10-Aug-15,1.1019,1.0969,1.1044,1.0927,0.0046
11-Aug-15,1.104,1.1019,1.1088,1.096,0.0019
12-Aug-15,1.1157,1.104,1.1212,1.1023,0.0106
13-Aug-15,1.1149,1.1157,1.1189,1.108,-0.0007
14-Aug-15,1.1107,1.1149,1.1189,1.1096,-0.0038
17-Aug-15,1.1081,1.1106,1.1125,1.1058,-0.0023
18-Aug-15,1.1021,1.1083,1.1096,1.1018,-0.0054
19-Aug-15,1.1119,1.1023,1.1137,1.1019,0.0089
20-Aug-15,1.1242,1.1117,1.1246,1.1105,0.0111
21-Aug-15,1.1389,1.1244,1.1393,1.1229,0.0131
24-Aug-15,1.162,1.1363,1.1713,1.1363,0.0203
25-Aug-15,1.1517,1.1619,1.1625,1.1399,-0.0089
26-Aug-15,1.1315,1.1515,1.1561,1.129,-0.0175
27-Aug-15,1.1245,1.1314,1.1366,1.1204,-0.0062
28-Aug-15,1.1179,1.1247,1.131,1.1156,-0.0059
31-Aug-15,1.1214,1.1176,1.1265,1.1162,0.0031
1-Sep-15,1.1319,1.1211,1.1333,1.1206,0.0094
2-Sep-15,1.1227,1.1311,1.1319,1.1214,-0.0081
3-Sep-15,1.1124,1.1227,1.1246,1.1088,-0.0092
4-Sep-15,1.1147,1.1124,1.1181,1.1089,0.0021
7-Sep-15,1.1168,1.1157,1.1178,1.112,0.0019
8-Sep-15,1.12,1.117,1.1229,1.1152,0.0029
9-Sep-15,1.1207,1.1202,1.1219,1.1133,0.0006
10-Sep-15,1.128,1.1209,1.1299,1.1174,0.0065
11-Sep-15,1.134,1.1279,1.1349,1.1254,0.0053
14-Sep-15,1.1321,1.1338,1.1375,1.1285,-0.0017
15-Sep-15,1.1267,1.1313,1.1328,1.1258,-0.0048
16-Sep-15,1.129,1.1267,1.1321,1.1212,0.002
17-Sep-15,1.1437,1.129,1.1442,1.1284,0.013
18-Sep-15,1.1305,1.1435,1.146,1.1267,-0.0115
21-Sep-15,1.1189,1.1284,1.1332,1.1183,-0.0103
22-Sep-15,1.112,1.1188,1.1209,1.1114,-0.0062
23-Sep-15,1.1187,1.112,1.1214,1.1105,0.006
24-Sep-15,1.123,1.1185,1.1296,1.1164,0.0038
25-Sep-15,1.1195,1.1227,1.1231,1.1115,-0.0031
28-Sep-15,1.1246,1.1195,1.125,1.1149,0.0046
29-Sep-15,1.1249,1.1247,1.1285,1.1196,0.0003
30-Sep-15,1.1177,1.1246,1.1262,1.1157,-0.0064
1-Oct-15,1.1195,1.1176,1.121,1.1134,0.0016
2-Oct-15,1.1211,1.1196,1.1319,1.1151,0.0014
5-Oct-15,1.1185,1.122,1.129,1.117,-0.0023
6-Oct-15,1.1271,1.1193,1.1282,1.1174,0.0077
7-Oct-15,1.1235,1.1269,1.1284,1.121,-0.0032
8-Oct-15,1.1279,1.1235,1.1325,1.1232,0.0039
9-Oct-15,1.1358,1.1282,1.1391,1.1269,0.007
12-Oct-15,1.1355,1.1355,1.1397,1.1351,-0.0003
13-Oct-15,1.1379,1.1358,1.1413,1.1346,0.0021
14-Oct-15,1.1473,1.1378,1.149,1.1374,0.0083
15-Oct-15,1.1383,1.1474,1.1496,1.1363,-0.0078
16-Oct-15,1.1347,1.1383,1.1397,1.1334,-0.0032
19-Oct-15,1.1327,1.1352,1.1382,1.1307,-0.0018
20-Oct-15,1.1345,1.1326,1.1387,1.1324,0.0016
21-Oct-15,1.1339,1.1347,1.138,1.1335,-0.0005
22-Oct-15,1.1107,1.1338,1.1351,1.1098,-0.0205
23-Oct-15,1.1018,1.1111,1.1142,1.0997,-0.008
26-Oct-15,1.1056,1.1008,1.1069,1.0987,0.0034
27-Oct-15,1.1048,1.1056,1.1079,1.1029,-0.0007
28-Oct-15,1.092,1.105,1.1096,1.0894,-0.0116
29-Oct-15,1.0976,1.0924,1.0985,1.0903,0.0051
30-Oct-15,1.1006,1.0976,1.1073,1.0964,0.0027
2-Nov-15,1.1015,1.1015,1.1053,1.1001,0.0008
3-Nov-15,1.0968,1.1014,1.1031,1.0936,-0.0043
4-Nov-15,1.0863,1.0962,1.0968,1.0842,-0.0096
5-Nov-15,1.0884,1.0865,1.0898,1.0835,0.0019
6-Nov-15,1.0741,1.0886,1.0896,1.0709,-0.0131
9-Nov-15,1.0752,1.0738,1.0793,1.0719,0.001
10-Nov-15,1.0724,1.0751,1.0764,1.0673,-0.0026
11-Nov-15,1.0744,1.0724,1.0774,1.0705,0.0019
12-Nov-15,1.0817,1.0743,1.0829,1.069,0.0068
13-Nov-15,1.0779,1.0816,1.0818,1.0715,-0.0035
16-Nov-15,1.0686,1.0751,1.0781,1.0675,-0.0086
17-Nov-15,1.0644,1.069,1.0696,1.0633,-0.0039
18-Nov-15,1.0659,1.064,1.0694,1.0617,0.0014
19-Nov-15,1.0734,1.0657,1.0764,1.0654,0.007
20-Nov-15,1.0646,1.0736,1.0745,1.0641,-0.0082
23-Nov-15,1.0636,1.0647,1.0658,1.0593,-0.0009
24-Nov-15,1.0641,1.0634,1.0674,1.062,0.0005
25-Nov-15,1.0627,1.0642,1.069,1.0566,-0.0013
26-Nov-15,1.061,1.0627,1.0633,1.06,-0.0016
27-Nov-15,1.0593,1.061,1.064,1.057,-0.0016
30-Nov-15,1.0564,1.0591,1.0596,1.0558,-0.0027
1-Dec-15,1.0631,1.0566,1.0638,1.0562,0.0063
2-Dec-15,1.0615,1.0633,1.0644,1.0553,-0.0015
3-Dec-15,1.0941,1.0616,1.0983,1.0541,0.0307
4-Dec-15,1.0886,1.0939,1.0957,1.0837,-0.005
7-Dec-15,1.0835,1.0859,1.0888,1.0795,-0.0047
8-Dec-15,1.0894,1.0835,1.0901,1.0827,0.0054
9-Dec-15,1.1025,1.0888,1.1042,1.0877,0.012
10-Dec-15,1.0941,1.1027,1.1029,1.0924,-0.0076
11-Dec-15,1.0989,1.0943,1.1033,1.0926,0.0044
14-Dec-15,1.0992,1.0985,1.105,1.0946,0.0003
15-Dec-15,1.0928,1.0991,1.1059,1.0903,-0.0058
16-Dec-15,1.0913,1.0932,1.1008,1.0888,-0.0014
17-Dec-15,1.0825,1.0915,1.0915,1.08,-0.0081
18-Dec-15,1.0868,1.0828,1.0877,1.0806,0.004
21-Dec-15,1.0915,1.0863,1.0941,1.0848,0.0043
22-Dec-15,1.0955,1.0913,1.0985,1.0901,0.0037
23-Dec-15,1.0909,1.0955,1.0957,1.0869,-0.0042
24-Dec-15,1.0972,1.0913,1.0976,1.0903,0.0058
25-Dec-15,1.0977,1.0973,1.0979,1.0945,0.0005
28-Dec-15,1.0968,1.0965,1.0995,1.0951,-0.0008
29-Dec-15,1.0917,1.0968,1.0992,1.0899,-0.0046
30-Dec-15,1.0932,1.092,1.0947,1.0903,0.0014
31-Dec-15,1.0861,1.0932,1.0938,1.085,-0.0065
1-Jan-16,1.086,1.0862,1.0869,1.0845,-0.0001
4-Jan-16,1.0831,1.0858,1.0949,1.0783,-0.0027
5-Jan-16,1.0748,1.0831,1.084,1.0711,-0.0077
6-Jan-16,1.0781,1.0749,1.0802,1.0721,0.0031
7-Jan-16,1.0936,1.0779,1.0941,1.077,0.0144
8-Jan-16,1.0932,1.0934,1.0936,1.0804,-0.0004
11-Jan-16,1.086,1.0923,1.0969,1.0847,-0.0066
12-Jan-16,1.0857,1.0859,1.0904,1.0822,-0.0003
13-Jan-16,1.0877,1.0858,1.0891,1.0807,0.0018
14-Jan-16,1.0865,1.088,1.0945,1.0835,-0.0011
15-Jan-16,1.0917,1.0866,1.0987,1.0855,0.0048
18-Jan-16,1.0892,1.0918,1.0941,1.0869,-0.0023
19-Jan-16,1.0909,1.0892,1.0941,1.0861,0.0016
20-Jan-16,1.0891,1.091,1.0977,1.0877,-0.0016
21-Jan-16,1.0874,1.0893,1.0922,1.0779,-0.0016
22-Jan-16,1.0797,1.0874,1.0879,1.079,-0.0071
25-Jan-16,1.0849,1.0799,1.0858,1.0788,0.0048
26-Jan-16,1.0871,1.085,1.0875,1.0819,0.002
27-Jan-16,1.0893,1.0871,1.0917,1.0851,0.002
28-Jan-16,1.0939,1.0891,1.0969,1.0869,0.0042
29-Jan-16,1.0837,1.0938,1.0951,1.0812,-0.0093
1-Feb-16,1.0888,1.0833,1.0915,1.0814,0.0047
